transaction_id,account_id,customer_name,transaction_type,amount,transaction_date,branch,city,balance_after,customer_age,account_type
71,105435,Ahmed Hossain,ATM Withdrawal,4622.91,2022-05-05,Khulna Main,Khulna,76074.37,35,Fixed Deposit
72,101630,William Johnson,Online Purchase,11614.54,2023-08-08,Khulna Main,Khulna,86146.51,47,Current
73,112569,Ayesha Uddin,Withdrawal,9698.28,2024-08-26,Gulshan,Dhaka,103537.58,36,Current
74,101252,Hasan Das,Transfer,13431.71,2023-03-08,Dhanmondi,Dhaka,167261.33,55,Savings
75,102322,Sophia Sheikh,Transfer,19750.93,2026-08-07,Comilla Main,Comilla,70635.63,50,Current
76,114530,Ayesha Miah,Withdrawal,18754.93,2024-03-18,Gulshan,Dhaka,81627.31,28,Savings
77,108055,Sultana Das,Bill Payment,9451.16,2023-12-06,Banani,Dhaka,111298.35,38,Savings
78,113766,Michael Islam,Transfer,12232.24,2022-09-03,Agrabad,Chattogram,0,63,Savings
79,114771,Sophia Hossain,Transfer,1689.93,2025-04-21,Dhanmondi,Dhaka,123119.89,41,Current
80,112380,Ahmed Khan,Transfer,34943.02,2023-08-08,Comilla Main,Comilla,147897.36,27,Savings
81,104353,Priya Sheikh,Transfer,17451.41,2024-05-26,Gulshan,Dhaka,133915.05,69,Fixed Deposit
82,106554,Mim Uddin,Withdrawal,11192.0,2026-02-08,Banani,Dhaka,61234.33,46,Fixed Deposit
83,112331,John Hossain,Bill Payment,44787.6,2022-09-18,Motijheel,Dhaka,121556.07,48,Current
84,105630,Nusrat Hossain,Transfer,9274.41,2023-06-17,Banani,Dhaka,0,59,Savings
85,104928,Linda Uddin,Online Purchase,4949.38,2022-11-28,Dhanmondi,Dhaka,102368.91,31,Fixed Deposit
86,114843,Jannat Roy,ATM Withdrawal,6829.52,2026-04-04,Khulna Main,Khulna,208244.15,45,Savings
87,108974,David Williams,Deposit,37111.93,2023-10-16,Agrabad,Chattogram,148046.51,41,Current
88,113260,James Johnson,Deposit,25455.6,2024-04-27,Barisal Main,Barisal,18089.06,51,Savings
89,106174,Ahmed Akter,Loan Payment,40415.52,2024-01-08,Motijheel,Dhaka,98389.71,61,Fixed Deposit
90,108670,Arif Johnson,Deposit,23509.29,2024-03-29,Comilla Main,Comilla,124953.47,46,Current
91,105112,Rahim Rahman,Deposit,5788.55,2026-07-06,Khulna Main,Khulna,126154.7,55,Current
92,100002,Fatema Sarker,Loan Payment,3368.69,2024-07-08,Agrabad,Chattogram,68256.98,68,Savings
93,103666,John Rahman,ATM Withdrawal,7090.85,2026-08-18,Barisal Main,Barisal,74937.37,62,Fixed Deposit
94,113869,Rakib Das,Deposit,20113.36,2026-05-22,Motijheel,Dhaka,74580.31,32,Fixed Deposit
95,100615,Arif Hossain,Withdrawal,980.88,2024-06-14,Barisal Main,Barisal,27514.01,66,Savings
96,101629,Fatema Hossain,ATM Withdrawal,7647.18,2023-06-19,Agrabad,Chattogram,66402.89,68,Fixed Deposit
97,100018,Rahim Uddin,Transfer,24219.35,2023-10-10,Comilla Main,Comilla,78895.37,71,Savings
98,107787,Hasan Williams,ATM Withdrawal,5388.02,2025-12-14,Comilla Main,Comilla,232575.79,37,Savings
99,100356,David Roy,Online Purchase,8385.75,2023-04-12,Comilla Main,Comilla,60297.99,45,Current
100,103715,Linda Khan,Online Purchase,3866.02,2025-10-29,Banani,Dhaka,133330.81,30,Savings
101,113059,Nusrat Sheikh,Deposit,40196.92,2023-10-01,Agrabad,Chattogram,232543.09,32,Current
102,103628,Ahmed Hossain,Deposit,47844.92,2023-01-19,Agrabad,Chattogram,59112.89,49,Current
103,114915,Sultana Khan,ATM Withdrawal,7624.03,2023-03-13,Gulshan,Dhaka,127726.34,56,Savings
104,106805,Karim Khan,Withdrawal,13225.56,2023-10-06,Barisal Main,Barisal,159669.06,25,Savings
105,102713,Michael Johnson,Withdrawal,1575.73,2024-08-15,Gulshan,Dhaka,20127.31,37,Fixed Deposit
106,111884,Tanvir Miah,Transfer,5361.07,2022-06-10,GEC Circle,Chattogram,90198.27,23,Current
107,106884,Ayesha Uddin,Loan Payment,30467.62,2026-08-10,GEC Circle,Chattogram,134344.74,70,Current
108,101437,Karim Roy,Withdrawal,11565.39,2023-01-31,Uttara,Dhaka,176596.92,41,Fixed Deposit
109,114696,Linda Islam,Online Purchase,11322.34,2026-04-20,Banani,Dhaka,138295.0,20,Current
110,100571,Robert Ahmed,Loan Payment,39013.05,2026-03-11,Dhanmondi,Dhaka,57738.86,75,Fixed Deposit
111,105555,Emma Brown,Transfer,32150.96,2023-06-21,Barisal Main,Barisal,58161.38,63,Fixed Deposit
112,105185,Ahmed Hossain,Deposit,20718.68,2026-07-08,Comilla Main,Comilla,550.59,22,Savings
113,113533,Sara Chowdhury,Bill Payment,8494.98,2026-05-09,Banani,Dhaka,14382.95,68,Current
114,114967,Priya Roy,Withdrawal,20678.55,2026-07-02,Barisal Main,Barisal,63349.6,37,Fixed Deposit
115,112661,John Williams,Transfer,22826.69,2026-05-25,Sylhet Main,Sylhet,28951.27,23,Fixed Deposit
116,103232,Tanvir Smith,Withdrawal,6274.46,2024-09-13,Rajshahi Main,Rajshahi,127585.83,52,Current
117,102632,Priya Chowdhury,Deposit,24716.85,2022-07-17,Banani,Dhaka,105036.96,49,Fixed Deposit
118,107323,Mary Williams,Withdrawal,6189.92,2025-10-12,Agrabad,Chattogram,121671.49,65,Fixed Deposit
119,113877,Rakib Chowdhury,Loan Payment,34515.24,2025-03-06,GEC Circle,Chattogram,37893.99,41,Current
120,112092,Ahmed Johnson,Bill Payment,12281.79,2022-11-11,GEC Circle,Chattogram,125013.19,74,Fixed Deposit
121,103084,Michael Ahmed,Bill Payment,11982.89,2024-12-13,Agrabad,Chattogram,125081.13,59,Savings
122,110704,Robert Khan,Deposit,66899.32,2023-04-19,Khulna Main,Khulna,83506.38,41,Savings
123,114366,Nusrat Williams,Deposit,51246.13,2026-08-23,Sylhet Main,Sylhet,105306.32,30,Savings
124,106098,Hasan Smith,Bill Payment,8765.37,2025-09-23,Gulshan,Dhaka,17494.52,24,Fixed Deposit
125,109767,William Miah,Withdrawal,25397.63,2022-04-01,Agrabad,Chattogram,92753.84,34,Savings
126,109820,Sophia Johnson,Loan Payment,43261.92,2025-10-21,Uttara,Dhaka,83816.52,29,Fixed Deposit
127,105115,Fatema Johnson,Deposit,32574.97,2022-05-10,Banani,Dhaka,7422.16,24,Current
128,110879,Mim Rahman,Online Purchase,9429.83,2024-03-25,Barisal Main,Barisal,61492.55,35,Current
129,104641,Sultana Hossain,Bill Payment,24524.12,2025-03-06,Uttara,Dhaka,64946.51,44,Current
130,100298,Rakib Miah,Online Purchase,19983.68,2023-02-22,Gulshan,Dhaka,171544.88,45,Savings
131,106942,Ayesha Ahmed,Bill Payment,715.37,2026-05-03,Motijheel,Dhaka,53161.89,26,Savings
132,100846,Mim Rahman,Online Purchase,17338.97,2025-03-19,Sylhet Main,Sylhet,23435.59,41,Fixed Deposit
133,108265,Mary Rahman,Transfer,8319.53,2022-05-18,Dhanmondi,Dhaka,151227.18,42,Current
134,112346,Jannat Johnson,Transfer,37229.36,2024-09-15,Uttara,Dhaka,182623.99,21,Fixed Deposit
135,110426,Tanvir Ahmed,Online Purchase,8459.31,2022-11-25,Comilla Main,Comilla,3194.41,68,Savings
136,110175,Tanvir Johnson,Loan Payment,948.9,2022-03-27,Banani,Dhaka,93099.73,51,Savings
137,106284,Emma Chowdhury,Withdrawal,12545.31,2023-01-30,Gulshan,Dhaka,176378.64,74,Fixed Deposit
138,113803,Rakib Khan,Online Purchase,16051.07,2025-05-12,Khulna Main,Khulna,54464.06,53,Fixed Deposit
139,112748,Nusrat Talukder,Transfer,1817.22,2025-09-11,Uttara,Dhaka,48646.36,46,Fixed Deposit
140,107181,Mary Islam,Deposit,8483.23,2023-04-27,Khulna Main,Khulna,32725.12,66,Fixed Deposit
141,112779,Robert Smith,Loan Payment,16115.88,2022-09-21,Uttara,Dhaka,84782.45,45,Current
142,101502,Jannat Das,ATM Withdrawal,4048.28,2025-07-27,Motijheel,Dhaka,78895.53,23,Fixed Deposit
143,105140,Rakib Sheikh,Deposit,47818.43,2024-02-13,Comilla Main,Comilla,103756.65,68,Savings
144,100423,Fatema Chowdhury,Withdrawal,33253.37,2023-08-13,Motijheel,Dhaka,171959.39,61,Fixed Deposit
145,103622,Fatema Miah,ATM Withdrawal,5291.31,2025-06-10,GEC Circle,Chattogram,44745.05,75,Current
146,102352,Ahmed Sheikh,Bill Payment,15132.81,2024-11-02,Agrabad,Chattogram,125263.07,38,Current
147,100603,David Smith,Bill Payment,30736.99,2025-10-23,Uttara,Dhaka,199499.15,75,Current
148,102764,Jannat Brown,Deposit,26222.74,2024-01-07,Khulna Main,Khulna,61190.62,53,Fixed Deposit
149,109503,William Chowdhury,Transfer,33225.0,2024-03-18,Barisal Main,Barisal,76256.95,69,Current
150,104337,Tanvir Miah,ATM Withdrawal,7376.16,2022-06-16,Khulna Main,Khulna,122741.38,32,Savings
151,110082,Sophia Khan,Transfer,16973.95,2025-08-02,Sylhet Main,Sylhet,38450.33,60,Current
152,112010,Rahim Khan,Withdrawal,24366.29,2024-06-04,Banani,Dhaka,146968.64,50,Current
153,114672,Karim Rahman,Bill Payment,15208.14,2022-02-15,Gulshan,Dhaka,166419.8,18,Fixed Deposit
154,105815,Nusrat Chowdhury,ATM Withdrawal,3422.55,2025-04-10,GEC Circle,Chattogram,113428.98,55,Savings
155,103345,Emma Roy,Withdrawal,35439.84,2023-05-14,Barisal Main,Barisal,185558.96,27,Current
156,101569,Fatema Rahman,Loan Payment,17467.71,2026-07-21,GEC Circle,Chattogram,38976.93,18,Savings
157,110566,Mim Miah,ATM Withdrawal,2557.67,2024-11-26,Barisal Main,Barisal,28500.51,49,Savings
158,102704,Rahim Khan,Deposit,5486.32,2023-05-02,Motijheel,Dhaka,67948.27,21,Savings
159,100202,Olivia Uddin,Online Purchase,19844.11,2023-02-13,Rajshahi Main,Rajshahi,67942.36,56,Fixed Deposit
160,108305,Arif Talukder,Loan Payment,7438.39,2022-05-11,GEC Circle,Chattogram,33317.77,58,Savings
161,114571,Sophia Roy,Online Purchase,2225.52,2024-06-13,Barisal Main,Barisal,66094.27,47,Savings
162,112152,Arif Das,Withdrawal,13165.17,2023-04-21,Comilla Main,Comilla,107978.93,20,Savings
163,105497,Sophia Brown,Online Purchase,32270.5,2025-10-23,Banani,Dhaka,107642.25,61,Fixed Deposit
164,104346,Nusrat Johnson,Deposit,28054.76,2023-06-18,Agrabad,Chattogram,72806.85,71,Fixed Deposit
165,103322,Mary Akter,Withdrawal,21869.08,2023-05-05,Banani,Dhaka,43380.96,72,Fixed Deposit
166,111351,Sultana Uddin,Bill Payment,6266.72,2022-01-14,Gulshan,Dhaka,92851.6,45,Fixed Deposit
167,103831,James Hossain,Loan Payment,32109.17,2022-06-09,Sylhet Main,Sylhet,161383.83,28,Savings
168,100539,Rahim Chowdhury,Deposit,16938.85,2022-10-18,Barisal Main,Barisal,55276.59,19,Savings
169,100682,John Khan,Online Purchase,16323.67,2025-04-24,Uttara,Dhaka,87670.16,30,Fixed Deposit
170,114602,Sultana Ahmed,Loan Payment,26643.12,2024-02-26,Dhanmondi,Dhaka,0,33,Savings
171,103328,Ayesha Khan,Deposit,67285.27,2026-03-24,Comilla Main,Comilla,38616.61,23,Fixed Deposit
172,110358,Nusrat Roy,Deposit,49326.75,2025-08-16,Agrabad,Chattogram,158708.36,36,Current
173,105513,Priya Brown,Deposit,2828.83,2022-04-10,Barisal Main,Barisal,191511.97,66,Current
174,114914,Michael Sheikh,Bill Payment,24481.61,2022-03-05,Banani,Dhaka,13058.67,19,Current
175,108497,Rakib Chowdhury,Transfer,7478.68,2025-03-05,Agrabad,Chattogram,83653.81,63,Savings
176,109413,Nusrat Smith,Bill Payment,22177.4,2026-04-10,Gulshan,Dhaka,80329.02,18,Current
177,108041,Ayesha Roy,Online Purchase,14875.19,2024-10-09,Sylhet Main,Sylhet,43320.16,40,Fixed Deposit
178,104269,James Smith,Transfer,26209.46,2023-04-20,Khulna Main,Khulna,0,28,Savings
179,110428,Rakib Ahmed,Bill Payment,17571.07,2026-05-31,Dhanmondi,Dhaka,0,58,Current
180,105826,Ayesha Sarker,Bill Payment,31394.6,2024-05-14,Comilla Main,Comilla,17642.61,19,Current
181,103377,Nusrat Brown,Bill Payment,26491.72,2024-02-16,Comilla Main,Comilla,38843.33,32,Current
182,102078,Mim Khan,Transfer,3977.0,2024-07-11,Comilla Main,Comilla,44260.07,53,Fixed Deposit
183,105297,Mary Das,Bill Payment,7778.39,2023-04-19,Motijheel,Dhaka,37080.68,39,Current
184,110530,William Williams,ATM Withdrawal,6416.21,2025-12-11,Sylhet Main,Sylhet,127442.29,27,Fixed Deposit
185,102555,Sara Akter,ATM Withdrawal,2853.47,2023-11-03,Agrabad,Chattogram,75063.05,34,Fixed Deposit
186,101667,Mary Chowdhury,Withdrawal,20279.35,2026-06-16,GEC Circle,Chattogram,194586.97,64,Current
187,107125,Ahmed Johnson,Deposit,19346.37,2023-02-27,Banani,Dhaka,58252.36,47,Savings
188,100206,Tanvir Talukder,Online Purchase,19367.59,2023-08-30,Khulna Main,Khulna,246270.69,19,Savings
189,104214,Olivia Sarker,Deposit,23015.85,2024-05-30,Barisal Main,Barisal,0,54,Fixed Deposit
190,112273,Arif Talukder,Loan Payment,29798.37,2026-05-05,Comilla Main,Comilla,175164.97,62,Fixed Deposit
191,113966,Sara Smith,Online Purchase,23446.1,2023-06-17,Comilla Main,Comilla,124939.16,62,Savings
192,114659,Priya Williams,Loan Payment,1068.07,2022-11-17,GEC Circle,Chattogram,135631.76,72,Current
193,107909,Robert Islam,ATM Withdrawal,8247.16,2025-09-15,Motijheel,Dhaka,23703.93,75,Fixed Deposit
194,105374,Rakib Islam,Bill Payment,28229.28,2022-08-06,Gulshan,Dhaka,0,34,Fixed Deposit
195,103569,Mary Johnson,ATM Withdrawal,713.89,2024-07-24,Rajshahi Main,Rajshahi,174847.36,31,Fixed Deposit
196,107794,Hasan Islam,Online Purchase,15910.14,2023-12-04,Banani,Dhaka,24381.68,65,Current
197,103442,Sultana Smith,Bill Payment,22816.25,2026-02-02,Sylhet Main,Sylhet,67935.98,40,Fixed Deposit
198,100927,Ahmed Brown,Bill Payment,10116.41,2024-05-07,Banani,Dhaka,85788.73,58,Fixed Deposit
199,111057,Emma Brown,Deposit,30763.07,2024-12-15,Agrabad,Chattogram,177419.05,69,Current
200,107571,David Smith,Withdrawal,17219.41,2026-06-24,Comilla Main,Comilla,70272.47,30,Current
201,110521,Mim Williams,Loan Payment,43688.78,2025-08-01,Banani,Dhaka,67393.45,47,Current
202,112450,Mim Rahman,Loan Payment,34902.53,2023-04-17,GEC Circle,Chattogram,31433.19,63,Current
203,111263,Ahmed Talukder,Online Purchase,12532.0,2026-01-18,GEC Circle,Chattogram,84055.2,40,Savings
204,110721,Nusrat Akter,Bill Payment,8968.17,2022-06-24,Comilla Main,Comilla,87933.25,75,Current
205,102502,Nusrat Sarker,Deposit,47676.22,2023-10-27,Motijheel,Dhaka,119503.04,51,Current
206,110373,James Islam,Online Purchase,48940.2,2025-09-05,GEC Circle,Chattogram,90646.87,34,Fixed Deposit
207,101663,James Rahman,Loan Payment,29051.28,2023-12-11,Motijheel,Dhaka,183287.52,31,Current
208,112970,Mim Smith,ATM Withdrawal,9444.92,2026-05-20,Dhanmondi,Dhaka,28085.12,60,Fixed Deposit
209,112911,Arif Hossain,Withdrawal,1721.45,2022-06-11,Barisal Main,Barisal,81445.23,71,Current
210,110997,Ayesha Uddin,Deposit,24171.33,2022-10-13,Khulna Main,Khulna,123647.34,49,Fixed Deposit
211,100957,Linda Das,Withdrawal,8640.5,2022-12-04,Rajshahi Main,Rajshahi,37024.01,56,Fixed Deposit
212,100108,Mary Akter,Bill Payment,6230.38,2023-08-31,Khulna Main,Khulna,13629.56,41,Current
213,106861,Sultana Ahmed,Withdrawal,1998.81,2022-02-28,Gulshan,Dhaka,15285.28,57,Savings
214,111183,Sophia Akter,Loan Payment,49252.62,2024-09-19,Motijheel,Dhaka,71776.04,20,Savings
215,111766,Priya Rahman,Transfer,30340.49,2023-12-01,Khulna Main,Khulna,129227.38,67,Fixed Deposit
216,109078,Rakib Johnson,Transfer,2530.61,2025-02-08,Gulshan,Dhaka,104897.16,70,Current
217,104798,Emma Roy,Bill Payment,9807.08,2024-11-03,Uttara,Dhaka,229546.82,31,Fixed Deposit
218,108064,Jannat Chowdhury,Transfer,20506.36,2022-09-19,Sylhet Main,Sylhet,168664.76,58,Savings
219,112848,Karim Sarker,Online Purchase,2528.37,2025-03-21,Gulshan,Dhaka,59510.58,43,Current
220,101777,Rahim Khan,Withdrawal,19540.16,2026-04-18,Comilla Main,Comilla,18726.82,21,Fixed Deposit
221,114906,Mim Sarker,ATM Withdrawal,8807.88,2025-11-12,Sylhet Main,Sylhet,151657.38,74,Fixed Deposit
222,101359,David Khan,Online Purchase,2137.66,2022-12-23,Dhanmondi,Dhaka,17434.75,60,Savings
223,114241,Karim Talukder,Loan Payment,62762.94,2022-01-28,Uttara,Dhaka,161871.19,73,Savings
224,112886,Nusrat Uddin,Online Purchase,11460.64,2024-05-13,Gulshan,Dhaka,130818.66,38,Savings
225,107056,James Khan,Bill Payment,8224.84,2022-09-01,Banani,Dhaka,73000.32,54,Fixed Deposit
226,106629,Robert Ahmed,Deposit,14062.71,2025-09-12,Motijheel,Dhaka,7127.81,48,Current
227,108991,Ayesha Ahmed,Online Purchase,19513.09,2025-07-07,Gulshan,Dhaka,102180.08,45,Savings
228,100152,Sultana Chowdhury,Loan Payment,59832.6,2022-09-22,Khulna Main,Khulna,143687.63,19,Current
229,111785,James Williams,Bill Payment,11103.4,2022-04-13,Uttara,Dhaka,41551.11,67,Fixed Deposit
230,111690,William Rahman,Online Purchase,12833.5,2025-02-15,Barisal Main,Barisal,30107.43,49,Current
231,110969,Ahmed Khan,Online Purchase,17295.08,2025-08-25,Comilla Main,Comilla,84231.11,70,Fixed Deposit
232,101305,Tanvir Hossain,Transfer,10935.82,2024-09-23,Sylhet Main,Sylhet,44149.66,21,Current
233,106022,James Das,Bill Payment,8378.16,2026-06-21,Dhanmondi,Dhaka,49908.68,41,Fixed Deposit
234,102687,Arif Talukder,Bill Payment,7945.79,2023-07-12,Sylhet Main,Sylhet,149334.57,39,Current
235,104585,Karim Akter,Loan Payment,18844.7,2026-08-30,Motijheel,Dhaka,0,56,Current
236,109579,Priya Williams,Bill Payment,1027.28,2026-04-29,Agrabad,Chattogram,117896.98,69,Current
237,104641,William Islam,Transfer,10813.13,2025-04-16,Gulshan,Dhaka,142662.92,36,Savings
238,113299,James Rahman,Transfer,38577.59,2025-01-26,Comilla Main,Comilla,63477.97,67,Current
239,105682,Mim Ahmed,ATM Withdrawal,1944.89,2023-02-15,Barisal Main,Barisal,44524.47,32,Current
240,109943,Karim Sarker,Bill Payment,3242.01,2025-04-15,Gulshan,Dhaka,0,68,Current
241,107532,Mim Ahmed,ATM Withdrawal,7594.41,2023-04-22,Banani,Dhaka,0,55,Fixed Deposit
242,114695,Ahmed Sheikh,Transfer,7895.91,2023-01-23,Agrabad,Chattogram,91733.72,30,Savings
243,102960,Jannat Hossain,Transfer,584.64,2026-05-16,Rajshahi Main,Rajshahi,53411.68,72,Savings
244,104035,Karim Roy,Transfer,21756.11,2024-08-07,Dhanmondi,Dhaka,36943.06,27,Current
245,109784,Rahim Miah,Transfer,9064.54,2022-03-10,Agrabad,Chattogram,78508.21,73,Fixed Deposit
246,107967,James Johnson,Transfer,22946.32,2022-07-18,Khulna Main,Khulna,58063.91,67,Fixed Deposit
247,113415,Olivia Rahman,Transfer,19680.68,2023-01-06,Banani,Dhaka,34616.8,23,Savings
